Timing,Xms,Xmx,GCollector
0.115625,1792,1152,UseParallelGC
0.11875,1792,1280,UseParallelGC
0.115625,1792,1408,UseParallelGC
0.115625,1792,1536,UseParallelGC
0.109375,1792,1664,UseParallelGC
0.8984375,1792,1792,UseParallelGC
1.010937,1792,1920,UseParallelGC
0.159375,1920,256,UseParallelGC
0.140625,1920,384,UseParallelGC
0.121875,1920,512,UseParallelGC
0.10625,1920,640,UseParallelGC
0.109375,1920,768,UseParallelGC
0.15625,1920,896,UseParallelGC
0.1125,1920,1024,UseParallelGC
0.153125,1920,1152,UseParallelGC
0.15,1920,1280,UseParallelGC
0.134375,1920,1408,UseParallelGC
0.1125,1920,1536,UseParallelGC
0.103125,1920,1664,UseParallelGC
0.1453125,1920,1792,UseParallelGC
0.990625,1920,1920,UseParallelGC
0.10625,256,256,UseConcMarkSweepGC
0.10625,256,384,UseConcMarkSweepGC
0.109375,256,512,UseConcMarkSweepGC
0.109375,256,640,UseConcMarkSweepGC
0.1125,256,768,UseConcMarkSweepGC
0.10625,256,896,UseConcMarkSweepGC
0.115625,256,1024,UseConcMarkSweepGC
0.1390625,256,1152,UseConcMarkSweepGC
0.11875,256,1280,UseConcMarkSweepGC
0.10625,256,1408,UseConcMarkSweepGC
0.109375,256,1536,UseConcMarkSweepGC
0.103125,256,1664,UseConcMarkSweepGC
0.115625,256,1792,UseConcMarkSweepGC
0.109375,256,1920,UseConcMarkSweepGC
0.1125,384,256,UseConcMarkSweepGC
0.134375,384,384,UseConcMarkSweepGC
0.109375,384,512,UseConcMarkSweepGC
0.1125,384,640,UseConcMarkSweepGC
0.109375,384,768,UseConcMarkSweepGC
0.109375,384,896,UseConcMarkSweepGC
0.134375,384,1024,UseConcMarkSweepGC
0.1125,384,1152,UseConcMarkSweepGC
0.121875,384,1280,UseConcMarkSweepGC
0.146875,384,1408,UseConcMarkSweepGC
0.10625,384,1536,UseConcMarkSweepGC
0.1125,384,1664,UseConcMarkSweepGC
0.1125,384,1792,UseConcMarkSweepGC
0.1140625,384,1920,UseConcMarkSweepGC
0.128125,512,256,UseConcMarkSweepGC
0.1125,512,384,UseConcMarkSweepGC
0.121875,512,512,UseConcMarkSweepGC
0.14375,512,640,UseConcMarkSweepGC
0.1,512,768,UseConcMarkSweepGC
0.134375,512,896,UseConcMarkSweepGC
0.109375,512,1024,UseConcMarkSweepGC
