Timing,Xms,Xmx,GCollector
9.895834E-02,1792,640,UseSerialGC
9.895834E-02,1792,768,UseSerialGC
0.1041667,1792,896,UseSerialGC
9.895834E-02,1792,1024,UseSerialGC
9.895834E-02,1792,1152,UseSerialGC
9.895834E-02,1792,1280,UseSerialGC
0.09375,1792,1408,UseSerialGC
0.09375,1792,1536,UseSerialGC
0.1015625,1792,1664,UseSerialGC
1.390625,1792,1792,UseSerialGC
1.385417,1792,1920,UseSerialGC
0.09375,1920,256,UseSerialGC
9.895834E-02,1920,384,UseSerialGC
0.1041667,1920,512,UseSerialGC
9.895834E-02,1920,640,UseSerialGC
9.895834E-02,1920,768,UseSerialGC
9.895834E-02,1920,896,UseSerialGC
0.09375,1920,1024,UseSerialGC
0.1015625,1920,1152,UseSerialGC
9.895834E-02,1920,1280,UseSerialGC
0.09375,1920,1408,UseSerialGC
0.1041667,1920,1536,UseSerialGC
9.895834E-02,1920,1664,UseSerialGC
9.895834E-02,1920,1792,UseSerialGC
1.395833,1920,1920,UseSerialGC
9.177083,256,256,UseParallelGC
8.054688,256,384,UseParallelGC
6.739583,256,512,UseParallelGC
4.617188,256,640,UseParallelGC
4.401042,256,768,UseParallelGC
5.226563,256,896,UseParallelGC
3.5625,256,1024,UseParallelGC
3.356771,256,1152,UseParallelGC
2.815104,256,1280,UseParallelGC
3.036458,256,1408,UseParallelGC
3.132813,256,1536,UseParallelGC
2.604167,256,1664,UseParallelGC
2.835938,256,1792,UseParallelGC
3,256,1920,UseParallelGC
0.1041667,384,256,UseParallelGC
9.888021,384,384,UseParallelGC
6.934896,384,512,UseParallelGC
4.226563,384,640,UseParallelGC
4.541667,384,768,UseParallelGC
3.9375,384,896,UseParallelGC
2.838542,384,1024,UseParallelGC
2.533854,384,1152,UseParallelGC
2.153646,384,1280,UseParallelGC
2.255208,384,1408,UseParallelGC
2.197917,384,1536,UseParallelGC
2.088542,384,1664,UseParallelGC
2.158854,384,1792,UseParallelGC
2.127604,384,1920,UseParallelGC
0.1041667,512,256,UseParallelGC
9.635416E-02,512,384,UseParallelGC
5.890625,512,512,UseParallelGC
4.161458,512,640,UseParallelGC
3.622396,512,768,UseParallelGC
4.755208,512,896,UseParallelGC
2.346354,512,1024,UseParallelGC
2.515625,512,1152,UseParallelGC
1.929688,512,1280,UseParallelGC
2.934896,512,1408,UseParallelGC
1.945313,512,1536,UseParallelGC
2.054688,512,1664,UseParallelGC
2.080729,512,1792,UseParallelGC
2.03125,512,1920,UseParallelGC
9.895834E-02,640,256,UseParallelGC
8.854166E-02,640,384,UseParallelGC
0.1119792,640,512,UseParallelGC
3.882813,640,640,UseParallelGC
4.523438,640,768,UseParallelGC
3.041667,640,896,UseParallelGC
3.356771,640,1024,UseParallelGC
2.195313,640,1152,UseParallelGC
1.507813,640,1280,UseParallelGC
1.716146,640,1408,UseParallelGC
1.854167,640,1536,UseParallelGC
1.674479,640,1664,UseParallelGC
1.90625,640,1792,UseParallelGC
1.653646,640,1920,UseParallelGC
0.09375,768,256,UseParallelGC
8.854166E-02,768,384,UseParallelGC
0.09375,768,512,UseParallelGC
9.895834E-02,768,640,UseParallelGC
3.013021,768,768,UseParallelGC
3.023438,768,896,UseParallelGC
2.434896,768,1024,UseParallelGC
2.395833,768,1152,UseParallelGC
1.742188,768,1280,UseParallelGC
1.497396,768,1408,UseParallelGC
1.622396,768,1536,UseParallelGC
1.903646,768,1664,UseParallelGC
1.458333,768,1792,UseParallelGC
1.440104,768,1920,UseParallelGC
9.895834E-02,896,256,UseParallelGC
0.09375,896,384,UseParallelGC
0.09375,896,512,UseParallelGC
0.09375,896,640,UseParallelGC
0.1041667,896,768,UseParallelGC
1.658854,896,896,UseParallelGC
1.658854,896,1024,UseParallelGC
1.375,896,1152,UseParallelGC
1.445313,896,1280,UseParallelGC
1.447917,896,1408,UseParallelGC
1.455729,896,1536,UseParallelGC
1.393229,896,1664,UseParallelGC
1.434896,896,1792,UseParallelGC
1.416667,896,1920,UseParallelGC
0.1041667,1024,256,UseParallelGC
9.895834E-02,1024,384,UseParallelGC
0.09375,1024,512,UseParallelGC
9.895834E-02,1024,640,UseParallelGC
0.09375,1024,768,UseParallelGC
9.895834E-02,1024,896,UseParallelGC
1.585938,1024,1024,UseParallelGC
1.497396,1024,1152,UseParallelGC
1.447917,1024,1280,UseParallelGC
1.408854,1024,1408,UseParallelGC
1.307292,1024,1536,UseParallelGC
1.356771,1024,1664,UseParallelGC
