Timing,Xms,Xmx,GCollector
10.09375,640,768,UseSerialGC
9.747396,640,896,UseSerialGC
10.01563,640,1024,UseSerialGC
9.294271,640,1152,UseSerialGC
9.671875,640,1280,UseSerialGC
9.34375,640,1408,UseSerialGC
9.625,640,1536,UseSerialGC
9.429688,640,1664,UseSerialGC
9.268229,640,1792,UseSerialGC
9.229167,640,1920,UseSerialGC
0.1041667,768,256,UseSerialGC
8.854166E-02,768,384,UseSerialGC
0.09375,768,512,UseSerialGC
8.854166E-02,768,640,UseSerialGC
9.835938,768,768,UseSerialGC
9.088542,768,896,UseSerialGC
9.054688,768,1024,UseSerialGC
9.125,768,1152,UseSerialGC
9.03125,768,1280,UseSerialGC
9.083333,768,1408,UseSerialGC
9.078125,768,1536,UseSerialGC
9.080729,768,1664,UseSerialGC
9.166667,768,1792,UseSerialGC
9.104167,768,1920,UseSerialGC
9.895834E-02,896,256,UseSerialGC
8.333334E-02,896,384,UseSerialGC
8.854166E-02,896,512,UseSerialGC
8.854166E-02,896,640,UseSerialGC
0.1119792,896,768,UseSerialGC
8.359375,896,896,UseSerialGC
8.877604,896,1024,UseSerialGC
8.885417,896,1152,UseSerialGC
8.867188,896,1280,UseSerialGC
8.971354,896,1408,UseSerialGC
8.851563,896,1536,UseSerialGC
8.875,896,1664,UseSerialGC
8.835938,896,1792,UseSerialGC
8.859375,896,1920,UseSerialGC
9.895834E-02,1024,256,UseSerialGC
0.09375,1024,384,UseSerialGC
0.09375,1024,512,UseSerialGC
8.854166E-02,1024,640,UseSerialGC
8.854166E-02,1024,768,UseSerialGC
8.854166E-02,1024,896,UseSerialGC
8.083333,1024,1024,UseSerialGC
8.403646,1024,1152,UseSerialGC
8.398438,1024,1280,UseSerialGC
8.380208,1024,1408,UseSerialGC
8.554688,1024,1536,UseSerialGC
8.481771,1024,1664,UseSerialGC
8.557292,1024,1792,UseSerialGC
8.486979,1024,1920,UseSerialGC
0.09375,1152,256,UseSerialGC
8.854166E-02,1152,384,UseSerialGC
9.114584E-02,1152,512,UseSerialGC
0.09375,1152,640,UseSerialGC
9.114584E-02,1152,768,UseSerialGC
8.854166E-02,1152,896,UseSerialGC
9.114584E-02,1152,1024,UseSerialGC
8.330729,1152,1152,UseSerialGC
8.125,1152,1280,UseSerialGC
8.15625,1152,1408,UseSerialGC
8.153646,1152,1536,UseSerialGC
8.023438,1152,1664,UseSerialGC
8.098958,1152,1792,UseSerialGC
8.085938,1152,1920,UseSerialGC
9.114584E-02,1280,256,UseSerialGC
8.333334E-02,1280,384,UseSerialGC
9.114584E-02,1280,512,UseSerialGC
8.854166E-02,1280,640,UseSerialGC
8.854166E-02,1280,768,UseSerialGC
8.854166E-02,1280,896,UseSerialGC
8.854166E-02,1280,1024,UseSerialGC
8.854166E-02,1280,1152,UseSerialGC
7.838542,1280,1280,UseSerialGC
8.244792,1280,1408,UseSerialGC
8.283854,1280,1536,UseSerialGC
8.268229,1280,1664,UseSerialGC
8.247396,1280,1792,UseSerialGC
8.255208,1280,1920,UseSerialGC
0.09375,1408,256,UseSerialGC
8.854166E-02,1408,384,UseSerialGC
8.854166E-02,1408,512,UseSerialGC
8.854166E-02,1408,640,UseSerialGC
8.854166E-02,1408,768,UseSerialGC
8.854166E-02,1408,896,UseSerialGC
8.333334E-02,1408,1024,UseSerialGC
8.854166E-02,1408,1152,UseSerialGC
8.854166E-02,1408,1280,UseSerialGC
8.083333,1408,1408,UseSerialGC
7.963542,1408,1536,UseSerialGC
8.005208,1408,1664,UseSerialGC
7.882813,1408,1792,UseSerialGC
7.861979,1408,1920,UseSerialGC
